ALBERTINE,Albertine
Adolphe,oncle Adolphe
Aime,Aimé
Albertine Simonet,Albertine
Andree,Andrée
Baron de Charlus,baron de Charlus
Basin,duc de Guermantes
Berma,la Berma
Bloch fils,Bloch
Bloch le père,Bloch père
Breaute,marquis de Bréauté
Bréauté,marquis de Bréauté
Cancan,marquis de Cambremer
Charles Morel,Morel
Charles Swann,Swann
Charlus,baron de Charlus
Chaussepierre,Mme de Chaussepierre
Châtellerault,duc de Châtellerault
Céleste,Céleste Albaret
Forestelle,marquis de Forestelle
Francoise,Françoise
Gallardon,marquise de Gallardon
Geneviève de Brabant,Geneviève
Gilberte Swann,Gilberte
Grand'mère,la grand-mère
Leon,prince de Léon
Léon,prince de Léon
Léonie,tante Léonie
M. Bergotte,Bergotte
M. Brichot,Brichot
M. Elstir,Elstir
M. Grévy,M. Grevy
M. Legrandin,Legrandin
M. Swann,Swann
M. de Cambremer,marquis de Cambremer
M. de Charlus,baron de Charlus
M. de Châtellerault,duc de Châtellerault
M. de Forcheville,comte de Forcheville
M. de Forestelle,marquis de Forestelle
M. de Guermantes,duc de Guermantes
M. de Noirpois,Norpois
M. de Norpois,Norpois
M. des Laumes,prince des Laumes
M. le marquis,Robert de Saint-Loup
M. le marquis de Robert de Saint-Loup,Robert de Saint-Loup
Madame Blandais,Mme Blandais
Madame Bontemps,Mme Bontemps
Madame Cottard,Mme Cottard
Madame Poncin,Mme Poncin
Madame Swann,Odette
Madame Verdurin,Mme Verdurin
Madame de Cambremer,Mme de Cambremer
Madame de Chaussepierre,Mme de Chaussepierre
Madame de Guermantes,duchesse de Guermantes
Madame de Vaugoubert,Mme de Vaugoubert
Madame de Villeparisis,Mme de Villeparisis
Madame duchesse de Guermantes,duchesse de Guermantes
Madame la Marquise,Mme de Villeparisis
Mademoiselle Albertine,Albertine
Mlle Albertine,Albertine
Mlle Simonet,Albertine
Mlle Swann,Gilberte
Mlle de Forcheville,Gilberte
Mlle de comte de Forcheville,Gilberte
Mme Sherbatoff,princesse Sherbatoff
Mme Swann,Odette
Mme de Cambremer-Legrandin,Mme de Cambremer
Mme de Crecy,Odette
Mme de Forcheville,Odette
Mme de Gallardon,marquise de Gallardon
Mme de Guermantes-Bavière,princesse de Guermantes
Mme de Luxembourg,princesse de Luxembourg
Mme de Monteriender,comtesse de Monteriender
Mme de Robert de Saint-Loup,Gilberte
Mme de Saint-Euverte,marquise de Saint-Euverte
Mme de Saint-Loup,Gilberte
Mme des Laumes,duchesse de Guermantes
Mme duchesse de Guermantes,duchesse de Guermantes
Mme la Berma,la Berma
Monsieur Bloch,Bloch
Monsieur Swann,Swann
Monsieur Verdurin,M. Verdurin
Monsieur l'Ambassadeur,Norpois
Monteriender,comtesse de Monteriender
Napoleon III,Napoléon III
Odette de Crecy,Odette
Odette de Crécy,Odette
Oriane,duchesse de Guermantes
Orsan,M. d'Orsan
Palamède,baron de Charlus
Remi,Rémi
Saint-Euverte,marquise de Saint-Euverte
Ski,M. Ski
